"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""For Those With Eating Disorders, Ozempic Can Be A Triggering Nightmare""","https://www.huffpost.com/entry/conversations-about-ozempic-can-be-triggering-for-people-with-eating-disorders_l_64120b44e4b0cfde25c28551","2023-03-25 13:00:00","","Huffpost","United States Of America","Entertainment","English","The conversation and widespread use of Ozempic for weight loss speaks to a larger cultural fear of fat, experts say.","",""
"""Maren Morris Is Proud Of Her Decision To Introduce Her Son To Drag Queens""","https://www.theunionjournal.com/maren-morris-son-to-drag-queens/","2023-03-25 11:44:47","Md Shahnawaz","Uj City News","United States Of America","Entertainment","English","Maren Morris’ uncompromising stance against Tennessee’s new anti-drug legislation this week solidified her status as one of country music’s most vocal champions for the LGBTQ community. The Grammy winner did not waste any time in expressing her thoughts on the divisive law after hitting the stage on Monday at Love Rising, a concert for LGBTQ […]","",""
"""Sheet pan dinner uses classic Moroccan spices in place of salt""","http://rssfeeds.freep.com/~/732692057/0/freep/entertainment~Sheet-pan-dinner-uses-classic-Moroccan-spices-in-place-of-salt/","2023-03-25 11:44:21","Bethany Thayer","Detroit Free Press","United States Of America","Entertainment","English","Typical seasonings in Morocco include cumin, black pepper, ginger and turmeric, along with paprika, cayenne, chili and saffron.       ","https://www.gannett-cdn.com/presto/2023/03/22/PDTF/79486037-a037-41d7-ba64-594ecf5b60f6-3_26_2023_Morrocan_Sheet_Pan_horizontal.jpg",""
"""Ronnie Ortiz-Magro Returns To Jersey Shore’s New Season""","https://www.theunionjournal.com/ronnie-ortiz-magro-returns-to-jersey-shore/","2023-03-25 11:41:51","Md Shahnawaz","Uj City News","United States Of America","Entertainment","English","Ronnie Ortiz-Magro does not regret leaving the sand behind. The 37-year-old made a surprise cameo on the MTV series to give fans an update on his current activities approximately 2 years after he quit Jersey Shore: Family Vacation to concentrate on his mental health. On the March 23 episode, Ronnie said, “I felt like I required […]","",""
"""How Vince McMahon and his wrestling empire explain America""","https://www.washingtonpost.com/books/2023/03/25/ringmaster-vince-mchmahon-biographpy-trump-riesman/","2023-03-25 10:00:55","Zack Ruskin","The Washington Post","United States Of America","Entertainment","English","In the revelatory biography “Ringmaster,” Abraham Riesman explores the strangely entwined worlds of Trump-era politics and the WWE.","",""
"""An electrifying exhibit shows Richard Avedon at his most ambitious""","https://www.washingtonpost.com/arts-entertainment/2023/03/25/avedon-murals-warhol-vietnam-chicago-seven/","2023-03-25 10:00:43","Sebastian Smee","The Washington Post","United States Of America","Entertainment","English","The famed fashion photographer Richard Avedon turned to mural-sized group portraits in 1969.","",""
"""Juliette Lewis is finally back on top""","https://www.washingtonpost.com/lifestyle/2023/03/25/juliette-lewis-yellowjackets-natalie/","2023-03-25 10:00:00","Karen Heller","The Washington Post","United States Of America","Entertainment","English","Juliette Lewis returns for the second season of ""Yellowjackets."" She worked with Martin Scorsese, dated Brad Pitt and kicked a drug habit, all before age 22.","",""
"""U.S. pair of Chock and Bates win first world ice dance title""","https://www.washingtontimes.com/news/2023/mar/25/us-pair-of-madison-chock-and-evan-bates-win-first-/?utm_source=RSS_Feed&utm_medium=RSS","2023-03-25 09:00:58","","The Washington Times , America’s Newspaper","United States Of America","Technology","English","Madison Chock and Evan Bates of the United States won their first ice dance title at the figure skating world championships on Saturday.","https://twt-thumbs.washtimes.com/media/image/2023/03/25/Japan_World_Championships_Figure_Skating_18662_s1440x960.jpg?f72536d07237fdd262042ae8f5e6e6de3b865f3c",""
"""What to watch this weekend: ‘Succession’ returns to HBO""","https://www.washingtonpost.com/tv/2023/03/25/what-watch-this-weekend-succession-returns-hbo/","2023-03-25 05:00:00","Olivia McCormack","The Washington Post","United States Of America","Entertainment","English","Saturday, March 25 and Sunday, March 26, 2023 | ‘Yellowjackets' returns to Showtime","",""
"""Jonathan Majors' New Movie Gets December Release Date""","https://comicbook.com/movies/news/jonathan-majors-new-movie-magazine-dreams-december-release-date/","2023-03-25 04:58:00","Jenna Anderson","Comic Book","United States Of America","Entertainment","English","Jonathan Majors' next movie has gotten a new release date. On Friday, Searchlight Pictures confirmed that Magazine Dreams, a new film starring Majors, will be released on December 8th. Magazine Dreams has already earned rave reviews after its premiere at Sundance. Magazine Dreams will be the latest of several blockbusters that Majors has starred in in 2023, ...","https://sportshub.cbsistatic.com/i/2023/02/20/4f66cba4-4295-476d-9406-5be32a788363/atn-man-and-the-wasp-quantumania.jpg",""
