"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Push at State Capitol to end subminimum wage for people with disabilities""","https://www.cbsnews.com/minnesota/news/push-at-state-capitol-to-end-subminimum-wage-for-people-with-disabilities/","2023-03-24 22:47:00","David Schuman","Minnesota Cbs Local","United States Of America","Politics","English","For decades, it's been legal to pay people with disabilities less than minimum wage, but there's momentum building to get rid of the practice.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/03/24/d39d97ea-5162-4621-aca5-86ca9baac9bd/thumbnail/1024x576/08a03c9cbf1f48c62d70bc81466cdcfa/42fd88127cb420405ecfc2bf9a1d5ef0.jpg",""
"""Minnesota House passes ""trans refuge"" legislation after late-night debate""","https://www.cbsnews.com/minnesota/news/minnesota-house-passes-trans-refuge-legislation-after-late-night-debate/","2023-03-24 21:31:00","WCCO Staff","Minnesota Cbs Local","United States Of America","Politics","English","The legislation prohibits enforcing out-of-state subpoenas, arrest warrants and extradition requests for people from other states who sought treatment that is legal in Minnesota. The bill ultimately passed with a 68-62 vote.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/03/24/6dc1b901-74d2-41c7-89be-130412910057/thumbnail/1024x576/8ff8e435af64049c8fa7e30a99ed30bc/inx-house-passes-gender-affirming-care-032423.jpg",""
"""Alexandria Ocasio-Cortez Slams Republicans Deeming Rosa Parks Book 'Too Woke'""","https://www.huffpost.com/entry/alexandria-ocasio-cortez-slams-parents-bill-of-rights-gop_n_641dd955e4b03793a8af5937","2023-03-24 20:31:01","","Huffpost","United States Of America","Politics","English","Cortez gave an impassioned House floor speech Thursday to rail against GOP efforts to censor, ban and regulate books in public schools.","",""
"""Disabled Wisconsin voters say absentee law not followed""","https://www.cbsnews.com/minnesota/news/disabled-wisconsin-voters-say-absentee-law-not-followed/","2023-03-24 20:26:38","CBS Minnesota","Minnesota Cbs Local","United States Of America","Politics","English","Disabled voters who need assistance submitting absentee ballots say local election leaders across Wisconsin are not following federal law during early voting in the high-stakes state Supreme Court race.","https://assets1.cbsnewsstatic.com/hub/i/r/2020/10/30/5c8225f5-9278-45cf-8af0-91332d4de730/thumbnail/1024x576/0d9c0579b51e5e399bdee1564f824544/GettyImages-1229297732.jpg",""
"""India’s ruling party just kicked a major rival out of Parliament — and sparked a new crisis""","https://www.vox.com/2023/3/24/23654832/rahul-gandhi-expelled-lok-sabha-narendra-modi","2023-03-24 20:15:00","Zack Beauchamp","Vox","United States Of America","Politics","English","","",""
"""Michigan Repeals ‘Right-To-Work’ Law In Historic Win For Unions""","https://www.huffpost.com/entry/michigan-whitmer-repeals-right-to-work-law_n_641df914e4b0f6517fe9c1df","2023-03-24 19:53:14","","Huffpost","United States Of America","Politics","English","Gov. Gretchen Whitmer also signed a bill restoring the state’s “prevailing wage” law to boost pay on government-funded projects.","",""
"""Judge Rejects Trump’s Claims Of Executive Power, Orders Aides To Testify In Jan. 6 Probe""","https://www.huffpost.com/entry/trump-aides-executive-privilege-meadows_n_641de930e4b048e0689e4e71","2023-03-24 18:46:07","","Huffpost","United States Of America","Politics","English","Mark Meadows, Stephen Miller and others must testify in a criminal investigation into Trump's efforts to overturn the 2020 election, the judge said.","",""
"""House passes GOP bill that would give parents more influence over schools""","https://www.cbsnews.com/minnesota/news/house-parents-bill-of-rights-republicans-schools-education/","2023-03-24 17:54:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Politics","English","Senate Majority Leader Chuck Schumer promised the legislation faces a ""dead end"" in the Senate.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/03/24/f46721b6-f404-4e5c-898a-0e850f785fc3/thumbnail/1024x576/677bb498abb42182327cb309c849f170/gettyimages-1249272024.jpg",""
"""House Republicans Visit Jan. 6 Rioters At D.C. Jail""","https://www.huffpost.com/entry/mtg-dc-jail-political-prisoners_n_641dcb6de4b0cfde25cafa29","2023-03-24 17:28:55","","Huffpost","United States Of America","Politics","English","Rep. Marjorie Taylor Greene (R-Ga.) led a delegation of House members to inspect the alleged mistreatment of Trump supporters connected to Jan. 6, 2021.","",""
"""Will 'educational freedom' handcuff Texas' public schools?""","https://www.wfaa.com/article/news/politics/yall-itics/yallitics-educational-freedom-bill-sb-8-texas-public-private-schools/287-e78b18c7-483b-4d46-af48-a592788146d6","2023-03-24 17:06:29","","Wfaa","United States Of America","Politics","English","SB 8 would provide thousands of taxpayer dollars for families to change schools. Critics wonder where the money is coming from — and whether it helps Texas students.","https://media.tegna-media.com/assets/WFAA/images/7df087df-869f-4c50-a471-36dd5a731d18/7df087df-869f-4c50-a471-36dd5a731d18_750x422.jpg",""
