"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""‘Fake news is annoying’ - Kessie’s agent hits out at fresh exit rumors""","https://www.barcablaugranes.com/2023/3/24/23653390/fake-news-is-annoying-kessies-agent-hits-out-at-fresh-barcelona-exit-rumors","2023-03-24 06:00:00","Gill Clark","Barca Blaugranes","United States Of America","Sports","English","","",""
"""Photos | UCLA handed another Gonzaga heartbreak""","https://www.latimes.com/sports/ucla/story/2023-03-23/photos-ucla-gonzaga-sweet-16-ncaa-tournament","2023-03-24 05:32:40","Robert Gauthier","L.a. Times","United States Of America","Sports","English","Gonzaga's Julian Strawther seals the win 79-76 with a three-point shot to hand UCLA another early exit during the Sweet 16 at March Madness in Las Vegas.","https://ca-times.brightspotcdn.com/dims4/default/4346393/2147483647/strip/false/crop/2000x1333+0+0/resize/1500x1000!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa0%2F67%2Fb80823d64c78910d8b8d20c43fe8%2Fuclasweet16.jpg",""
"""Hometown hero Julian Strawther lives dream in Gonzaga victory""","https://www.reviewjournal.com/sports/basketball/ncaa-tournament/hometown-hero-julian-strawther-lives-dream-in-gonzaga-victory-2749840/","2023-03-24 05:28:08","Adam Hill","Las-vegas Review Journal","United States Of America","Sports","English","The Liberty High School alum grew up dreaming about making a shot like he did Thursday to lift Gonzaga to the Elite Eight with a win over UCLA at T-Mobile Arena.","",""
"""Drew Timme carries Gonzaga on his broad shoulders again""","https://www.reviewjournal.com/sports/sports-columns/sam-gordon/drew-timme-carries-gonzaga-on-his-broad-shoulders-again-2749834/","2023-03-24 05:25:19","Sam Gordon","Las-vegas Review Journal","United States Of America","Sports","English","Gonzaga center Drew Timme extended one of this century’s great college basketball careers, finishing with 36 points and 13 rebounds in a victory over UCLA on Thursday.","",""
"""Plaschke: UCLA goes from brilliant to broke as history cruelly repeats itself vs. Gonzaga""","https://www.latimes.com/sports/ucla/story/2023-03-23/ucla-gonzaga-march-madness-sweet-16-ncaa-tournament","2023-03-24 05:15:44","Bill Plaschke","L.a. Times","United States Of America","Sports","English","UCLA looked poised to finally break its losing streak against Gonzaga, only for everything to end in March Madness mess of a loss for the Bruins.","https://ca-times.brightspotcdn.com/dims4/default/7193ca3/2147483647/strip/false/crop/3124x2082+0+0/resize/1500x1000!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa6%2F73%2Ff60a45fa4c369fb8eb2f7ffdf947%2F1272298-sp-0323-ucla-13-rcg.jpg",""
"""Jubilation turns into heartbreak as UCLA loses to Gonzaga again in NCAA tournament""","https://www.latimes.com/sports/ucla/story/2023-03-23/ucla-basketball-gonzaga-ncaa-tournament-sweet-16-recap","2023-03-24 05:14:25","Ben Bolch","L.a. Times","United States Of America","Sports","English","After UCLA took the lead with 12 seconds left, a three-pointer by Julian Strawther lifts Gonzaga to a 79-76 win in the Sweet 16 of the NCAA tournament.","https://ca-times.brightspotcdn.com/dims4/default/2df8648/2147483647/strip/false/crop/4834x3223+0+0/resize/1500x1000!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F8e%2F7f%2F9f46a1014ac2a4e835c524da7be4%2F1272298-sp-0323-ucla-7-rcg.jpg",""
"""Roller-coaster ride of a season ends with a thud for Arkansas""","https://www.reviewjournal.com/sports/basketball/ncaa-tournament/roller-coaster-ride-of-a-season-ends-with-a-thud-for-arkansas-2749820/","2023-03-24 05:03:49","Adam Hill","Las-vegas Review Journal","United States Of America","Sports","English","Arkansas spent much of the season in the top 10 only to enter the NCAA Tournament as an afterthought before making a run to the Sweet 16 that ended in disappointment.","",""
"""Clippers take control second half to beat Thunder without Paul George""","https://www.latimes.com/sports/clippers/story/2023-03-23/clippers-vs-thunder-nba-game-recap","2023-03-24 04:55:13","Andrew Greif","L.a. Times","United States Of America","Sports","English","Kawhi Leonard scored 32 points as the Clippers, without Paul George, took control of the second half to cruise to a 127-105 win over the Oklahoma City Thunder.","https://ca-times.brightspotcdn.com/dims4/default/87f6cae/2147483647/strip/false/crop/7723x5149+0+0/resize/1500x1000!/quality/80/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fa1%2Fec%2F2661e18840a8a95e0e4cbb20530f%2Fthunder-clippers-basketball-22334.jpg",""
"""Gophers' third-period flurry brings swift end to Canisius upset bid""","https://www.inforum.com/sports/college/gophers-third-period-flurry-brings-swift-end-to-canisius-upset-bid","2023-03-24 04:54:51","","Inforum","United States Of America","Sports","English","Top-seeded Minnesota scored eight unanswered goals to punctuate a first-round win over the Golden Griffins.","",""
"""Himanshu’s Impact Wrestling Review 03.23.23""","https://411mania.com/wrestling/himanshus-impact-wrestling-review-03-23-23/","2023-03-24 04:45:28","Himanshu Doi","411mania","United States Of America","Sports","English","Himanshu Doi cjecks in with his review of this week's Impact Wrestling. The post Himanshu’s Impact Wrestling Review 03.23.23 appeared first on 411MANIA.","",""
