"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Cruise shares comment after robotaxi crashes into San Francisco Muni bus""","https://www.teslarati.com/cruise-robotaxi-crashes-sf-bus-response/","2023-03-26 04:41:25","Simon Alvarez","Teslarati","Australia","Technology","English","A Cruise robotaxi operating without a safety driver recently collided with a San Francisco Municipal Transportation Agency (Muni) bus. There were no reported injuries. While the bus sustained modest damage, the damage to the Cruise vehicle’s front bumper was more severe. At the time of the incident, the Cruise robotaxi was not carrying any passengers. […] The post Cruise shares comment after robotaxi crashes into San Francisco Muni bus appeared first on TESLARATI.","",""
"""Encore: The number of Black video game developers is small, but strong""","https://www.npr.org/2023/03/25/1166093771/encore-the-number-of-black-video-game-developers-is-small-but-strong","2023-03-25 21:21:26","Brianna Scott","Npr","United States Of America","Technology","English","Even though only 5% of those working in video game development identify as Black, Black gamers and developers have had a significant impact on the industry.","",""
"""Wisconsin Rep. Mark Pocan on TikTok hearing""","https://www.npr.org/2023/03/25/1166093757/wisconsin-rep-mark-pocan-on-tiktok-hearing","2023-03-25 21:21:26","","Npr","United States Of America","Technology","English","NPR's Scott Detrow speaks with Mark Pocan, Democratic congressman of Wisconsin, about this week's hearing that featured TikTok CEO Shou Zi Chew, and how he thinks lawmakers should regulate the app.","",""
"""Cordon-Ragot alarmed as Zaaf could be forced to use bank guarantee to pay salaries""","https://www.cyclingnews.com/news/we-cant-work-for-free-cordon-ragot-alarmed-as-zaaf-could-be-forced-to-use-bank-guarantee-to-pay-salaries/","2023-03-25 20:54:36","Kirsten Frattini","Cycling News","United States Of America","Technology","English","'If the team doesn't quickly find a solution, I don't see how it will be possible to continue' says French Champion","https://cdn.mos.cms.futurecdn.net/5YR6iFmctuWkSdNxRCTy9J.jpg",""
"""Tesla Giga Berlin ramps production to 5,000 vehicles per week""","https://www.teslarati.com/tesla-giga-berlin-ramps-production-5000-vehicles-per-week/","2023-03-25 20:07:15","Joey Klender","Teslarati","Australia","Technology","English","Tesla Giga Berlin has reached an annual run rate of 260,000 vehicles, the company confirmed. Tesla officially announced that its factory outside of Berlin built 5,000 vehicles in a week this past week, just one year after starting deliveries to European customers. Giga Berlin hits 5k builds/week—1 year after delivering the first vehicles to customers […] The post Tesla Giga Berlin ramps production to 5,000 vehicles per week appeared first on TESLARATI.","",""
"""Aboriginal Art Is Booming in Australia. Inside the Galleries and Museums Spotlighting First Nation Works.""","https://robbreport.com/shelter/art-collectibles/museums-galleries-spotlighting-aboriginal-art-1234817997/","2023-03-25 19:00:00","Dsimms29","Robb Report","United States Of America","Technology","English","Sydney Modern Project’s Yiribana Gallery is part of the surge spotlighting talents like Daniel Walbidi and Daniel Boyd.","https://robbreport.com/wp-content/uploads/2023/03/Aboriginal_Artists5.jpg",""
"""How to watch Gent-Wevelgem – live streaming""","https://www.cyclingnews.com/news/how-to-watch-gent-wevelgem-spring-classics-live-streaming/","2023-03-25 18:30:02","Daniel Ostanek","Cycling News","United States Of America","Technology","English","All the information on how to stream Sunday's cobbled Classic","https://cdn.mos.cms.futurecdn.net/uoZGSB3QJyLjZHKKLRrwFN.jpg",""
"""Elon Musk listed as Featured Speaker for 2023 POSSIBLE event""","https://www.teslarati.com/elon-musk-featured-speaker-2023-possible-event/","2023-03-25 18:24:17","Joey Klender","Teslarati","Australia","Technology","English","Elon Musk has been listed as a Featured Speaker for the 2023 POSSIBLE Event hosted by NBC Universal. Musk will join Linda Yaccarino of NBCUniversal on April 18 in Miami to discuss Twitter and how it will shape marketers, culture, and other conversations. Musk will also discuss the role Twitter, the social media platform he […] The post Elon Musk listed as Featured Speaker for 2023 POSSIBLE event appeared first on TESLARATI.","",""
"""Tiny Amounts of Plastic Cause Horrifying Problems in Chicken Embryos""","https://futurism.com/neoscope/tiny-plastic-problems-chicken-embryos","2023-03-25 18:02:07","Maggie Harrison","Futurism","United States Of America","Science","English","In more terrible news from the nanoplastics front: a recent study from researchers at the Netherlands' Leiden University has confirmed that tiny plastics cause absolutely horrid development problems in forming chicken embryos, leading to extensive malformations and birth defects in newborn chicks. ""Polystyrene nanoplastics cause a wide spectrum of severe congenital malformations in the chick […]","",""
"""Captive Birth Reduces Survival In The Wild For Migratory Birds""","https://www.forbes.com/sites/grrlscientist/2023/03/25/captive-birth-reduces-survival-in-the-wild-for-migratory-birds/","2023-03-25 17:34:24","GrrlScientist, Senior Contributor","Forbes","United States Of America","Technology","English","Captivity can alter the wing shape of birds, reducing their chances of surviving after they are released into the wild","https://imageio.forbes.com/specials-images/imageserve/641dad24139057585a8a9f09/0x0.jpg?width=960&precrop=2499%2C1407%2Cx0%2Cy295",""
