"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Israeli defense minister calls on Netanyahu to halt overhaul of courts""","https://www.washingtonpost.com/world/2023/03/25/israel-defense-minister-yoav-gallant-netanyahu/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world","2023-03-25 21:27:30","Steve Hendrix","The Washington Post","United States Of America","World","English","Israel’s defense minister, a senior ally of Prime Minister Benjamin Netanyahu, called for a freeze on the government’s attempt to remake the judicial system.","",""
"""Putin says Russia will station tactical nukes in Belarus""","https://www.chicagotribune.com/nation-world/ct-aud-nw-russia-nuclear-weapons-20230325-xd4lkq6pfrgj5bm5w52qfx4vuy-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 19:07:33","","Chicago Tribune","United States Of America","World","English","Russian President Vladimir Putin announced plans on Saturday to station tactical nuclear weapons in neighboring Belarus.","https://www.chicagotribune.com/resizer/y1bFhAfwDO0G61zAO3cfJgDN7OM=/cloudfront-us-east-1.images.arcpublishing.com/tronc/EADUBIDG6MNS4UVHX3EU5LB6CA.jpg",""
"""2 dead, 5 missing in chocolate factory explosion""","https://www.chicagotribune.com/nation-world/ct-aud-nw-pennsylvania-chocolate-factory-explosion-20230325-4uupip2v5fbuxi2ufl43sxdxxq-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 17:16:42","","Chicago Tribune","United States Of America","World","English","An explosion at a chocolate factory in Pennsylvania on Friday killed five people and left six people missing, authorities said.","https://www.chicagotribune.com/resizer/r6VhngQGRTHFY39xTeDGX89dJhg=/cloudfront-us-east-1.images.arcpublishing.com/tronc/7RURJX77MRHPDEZQDMWOY43VI4.jpg",""
"""Rule of law on the ballot in Wisconsin Supreme Court justice runoff election""","https://www.washingtontimes.com/news/2023/mar/25/rule-of-law-on-ballot-in-wisconsin-supreme-court-j/?utm_source=RSS_Feed&utm_medium=RSS","2023-03-25 17:07:39","Michael McKenna","The Washington Times , America’s Newspaper","United States Of America","World","English","The most interesting and perhaps most important single political campaign in 2023 is occurring right now over the seventh and decisive seat on the Wisconsin Supreme Court.","https://twt-thumbs.washtimes.com/media/image/2023/03/23/Wisconsin_Supreme_Court_19551_s1440x961.jpg?6ffc4d3d57b058013256ad5bbd6d52434af2a762",""
"""Corrupting our children is one of the left's favorite tactics""","https://www.washingtontimes.com/news/2023/mar/25/corrupting-our-children-is-one-of-lefts-favorite-t/?utm_source=RSS_Feed&utm_medium=RSS","2023-03-25 16:51:33","Don Feder","The Washington Times , America’s Newspaper","United States Of America","World","English","The enemies of civilization, the army of the ""woke,"" are sadists -- period.","https://twt-thumbs.washtimes.com/media/image/2023/03/25/B1-FEDE-Bug-Bite-GG_s660x929.jpg?be1651f4429a57b72e3f1b3517e58908a34b8e4c",""
"""Islamic holy month of Ramadan celebrated around the world""","http://rssfeeds.usatoday.com/~/732409193/0/usatodaycomworld-topstories~Islamic-holy-month-of-Ramadan-celebrated-around-the-world/","2023-03-25 16:43:26","USA TODAY","Usa Today","United States Of America","World","English","Ramadan is designed for fasting, time with loved ones and prayer, including asking for forgiveness for sins. Muslims believe it was during this month God gave the Qur'an to Prophet Muhammad and told him he was in charge of carrying God's message.       ","https://www.gannett-cdn.com/presto/2023/03/25/USAT/9e714650-edb9-4702-b1cc-035d1c0c2e3a-AFP_AFP_33C26MK.jpg",""
"""‘What can we do?’: Millions in African countries need power""","https://www.chicagotribune.com/nation-world/ct-aud-nw-africa-countries-power-20230325-zrs4pcg3encchn4f2xscd4ttfa-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 14:48:29","Mogomotsi Magome","Chicago Tribune","United States Of America","World","English","From Zimbabwe, where many must work at night because it’s the only time there is power, to Nigeria where collapses of the grid are frequent, the reliable supply of electricity remains elusive across Africa.","https://www.chicagotribune.com/resizer/hao9fsNk_5VhiwnThLHiNUxhHqQ=/cloudfront-us-east-1.images.arcpublishing.com/tronc/TNUBCSGDBSG6SFJ6NJJRMKNTDA.jpg",""
"""Greene’s DC jail visit pulls GOP closer to Jan. 6 rioters""","https://www.chicagotribune.com/nation-world/ct-aud-nw-greene-visits-jan-6-rioters-jail-20230325-gwx6hh37hbbfdjpzgdgusc7wii-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 14:39:56","Lisa Mascaro","Chicago Tribune","United States Of America","World","English","Rep. Marjorie Taylor Greene swept into the District of Columbia jail to check on conditions for the Jan. 6 defendants, with Republican lawmakers handshaking and high-fiving the prisoners, who chanted “Let’s Go Brandon!” — a coded vulgarity against President Joe Biden — as the group left.","https://www.chicagotribune.com/resizer/IfAaunV41YvH7Z4k7fa7-hgC3LQ=/cloudfront-us-east-1.images.arcpublishing.com/tronc/BSN2HMAOLXLR6MZTYQXLTX4KMM.jpg",""
"""Trump rallying supporters in Waco ahead of possible charges""","https://www.chicagotribune.com/nation-world/ct-aud-nw-trump-waco-rally-20230325-goclupr25beivf45eu5v2z22oy-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 14:36:01","","Chicago Tribune","United States Of America","World","English","Staring down a possible indictment, a defiant Donald Trump is hoping to put on a show of force Saturday as he holds the first rally of his 2024 presidential campaign in a city made famous by deadly resistance against law enforcement.","https://www.chicagotribune.com/resizer/86yA53So7zuONKDOa70oIuIM5z8=/cloudfront-us-east-1.images.arcpublishing.com/tronc/PNKSZWARLVBK7TA2QJ5UFD3M5I.jpg",""
"""Texas police: Migrants found ‘suffocating’ in train; 2 dead""","https://www.chicagotribune.com/nation-world/ct-aud-nw-migrants-train-car-20230325-f2ebvfseqbdiff6g3plqmopzlq-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/nation-world/","2023-03-25 14:33:30","","Chicago Tribune","United States Of America","World","English","Two migrants were found dead and at least 10 were hospitalized Friday after police in South Texas received a call that they were “suffocating” in a freight train traveling near the U.S.-Mexico border.","https://www.chicagotribune.com/resizer/Ljd-3hs4Cjh0kFzqIQbb2d75RvY=/cloudfront-us-east-1.images.arcpublishing.com/tronc/NGFRQYT4OSF23WMOSCRTLAGIEQ.jpg",""
