"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""阿联酋中央银行发布最新统计数据：银行业存款显著增长""","https://www.wam.ae/zh-CN/details/1395303189262","2023-08-24 11:23:18","方海山/ Katia El Hayek","Wam","United Arab Emirates","Business","Chinese","","",""
"""高雄市百貨公司上半年整體營收近400億元 成長40％""","https://ec.ltn.com.tw/article/breakingnews/4406462","2023-08-24 08:59:49","","Ltn","Taiwan","Business","Chinese","今年上半年高雄市百貨公司的整體營收逼近400億元，全國居第2名。 根據財政部統計，今年1至6月高雄市百貨公司銷售總額達399.93億元。僅低於台北市的802.77億元...…","",""
"""輕休旅YARiS CROSS來勢洶洶 預售價67.5萬元起""","https://ec.ltn.com.tw/article/breakingnews/4406459","2023-08-24 08:56:02","","Ltn","Taiwan","Business","Chinese","和泰（2207）代理的TOYOTA全新輕休旅車YARiS CROSS來勢洶洶，今天宣布預售價，入門款汰舊換新預購價67.5萬元起。 YARiS CROSS於全球首發...…","",""
"""中鴻：鋼價支撐力道不弱 9月盤價跟進調漲""","https://ec.ltn.com.tw/article/breakingnews/4406448","2023-08-24 08:48:33","","Ltn","Taiwan","Business","Chinese","中鴻（2014）今天日開出內外銷盤價，內銷的冷、熱軋產品每噸都漲900元，鍍鋅更是大漲1000元，外銷則依照產品及地區別調漲；整體來看，中鴻此次盤價漲價幅度與已開盤的中鋼...…","",""
"""連兩屆奧運唯一指定床墊，來自一家釣魚線工廠""","https://www.businessweekly.com.tw/management/blog/3013127?utm_source=RSS_Web&utm_medium=web&utm_content=bw&utm_campaign=content","2023-08-24 08:33:45","","商業周刊","Taiwan","Business","Chinese","根據日本厚生勞動省調查，日本成年男女有將近30%～40%的民眾，有慢性失眠或睡眠障礙的症狀。躺在床上卻遲遲無法入眠，產生的心理壓力經常會影響到第二天的工作表現。尤其，這對於每4年參賽1次的奧運選手，更是攸關人生的大事。也難怪日本前花式滑冰選手淺田真央，在2009年出國比賽的時候，在手臂寫上「記得帶床......詳全文","",""
"""一次演說，讓瀕臨降級的隊伍重回世界冠軍，這位隊長說了什麼？""","https://www.businessweekly.com.tw/management/blog/3013126?utm_source=RSS_Web&utm_medium=web&utm_content=bw&utm_campaign=content","2023-08-24 08:28:32","","商業周刊","Taiwan","Business","Chinese","身為中階管理者，你不僅要擔任協助落實高層管理政策的人；剛進這個產業的新手很尊重你，你也是他們的前輩、明師或主管；資深管理階層也信任你，能向其他人傳達高層的抱負、價值觀與目標。身為這兩端中間的支點，需要出色的技能才能達成平衡，同時保有兩邊對你的尊重，尤其困難。在你開始擔任中階管理職時，第一件要謹記在心......詳全文","",""
"""一個廚師看破真相：小吃的「傳統價值」，常建立在老闆不能漲價的壓力上""","https://www.businessweekly.com.tw/careers/blog/3013125?utm_source=RSS_Web&utm_medium=web&utm_content=bw&utm_campaign=content","2023-08-24 08:20:53","","商業周刊","Taiwan","Business","Chinese","還記得當兵前夕，我在TLC上看到Anthony Bourdain的節目「波登不設限」。接著，我在台大附近的的二手書店找到他著名的《Kitchen Confidential》和《A Cook’s Tour》兩本書的合集。新訓後，下單位到了媽祖北竿後，他的這本書與YouTube上的影集在那段知識乾涸的時......詳全文","",""
"""全年無休換來過勞死⋯哪些症狀要注意？飲食怎麼吃？""","https://www.businessweekly.com.tw/style/blog/3013124?utm_source=RSS_Web&utm_medium=web&utm_content=bw&utm_campaign=content","2023-08-24 08:18:50","","商業周刊","Taiwan","Business","Chinese","近日傳出友達台南6A廠廠長因工作高壓過勞死，引起關注。友達已在第一時間成立治喪小組，並全力協助家屬處理後事。健身營養師DGI黃威杰提醒民眾，要留意自身狀況，若有以下症狀，都可能是過勞的徵兆：莫名長時間感到疲勞。免疫力下降、常常生病。注意力、記憶力衰退。焦慮、常常失眠。長期熬夜卻睡不著。辦事效率下降。......詳全文","",""
"""免費腳踏車！北京「人手一車」盛況⋯竟因銀行衝信用卡業績而起""","https://www.businessweekly.com.tw/international/blog/3013123?utm_source=RSS_Web&utm_medium=web&utm_content=bw&utm_campaign=content","2023-08-24 08:18:37","","商業周刊","Taiwan","Business","Chinese","7、8月的北京城，夢回中國1980年代的「自行車王國」。（編按：1980年代自行車是中國城市街道上，最具主導地位的交通工具。）自7月初以來，一支編制龐大的銷售聯合部隊，從北京城北的昌平、東邊的通州，西至門頭溝，南部大興開始向五、四、三、二環陸續駐紮。每個「營帳」後方擺著數排裹著泡棉紙的「名牌」登山車......詳全文","",""
"""康那香疫情紅利退燒獲利降 超纖不織布明年Q1量產""","https://ec.ltn.com.tw/article/breakingnews/4406394","2023-08-24 08:14:36","","Ltn","Taiwan","Business","Chinese","康那香（9919）今天在法說會表示，由於疫情紅利退燒，今年較高毛利的防疫產品銷售衰退，加上原物料上漲影響毛利，整體營收規模雖減、獲利下降，不過，旗下超纖不織布先進製程將於...…","",""
