"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""PlayStation 第一款遙控遊玩專用裝置「PlayStation Portal」將於今年下半年上市""","https://gnn.gamer.com.tw/detail.php?sn=254995","2023-08-24 13:23:05","","Gnn","Taiwan","Entertainment","Chinese","索尼互動娛樂（SIE）日前在 PlayStation 官方部落格公布了專用 PS5 遙控遊玩裝置「PlayStation Portal Remote Player」以及兩款新無線耳機「Pulse Elite」和「Pulse Explore」的上市時程與價格等資訊。     ....","",""
"""《Shotgun King: The Final Checkmate》PS4 / PS5 / Switch 中文版問世""","https://gnn.gamer.com.tw/detail.php?sn=254994","2023-08-24 11:35:27","","Gnn","Taiwan","Entertainment","Chinese","H2 Interactive 宣布，於今日（8 月 24 日）在 PlayStation Store 和香港 Nintendo eShop 上正式推出由 PUNKCAKE Delicieux 開發的策略 Roguelike 遊戲《Shotgun King: The Final Checkmate》PS4 / P....","",""
"""街機風格 2D 平台動作遊戲《重力迴路》Switch 中文版今日上市""","https://gnn.gamer.com.tw/detail.php?sn=254993","2023-08-24 11:14:45","","Gnn","Taiwan","Entertainment","Chinese","H2 Interactive 於今日（8 月 24 日）在香港 Nintendo eShop 正式推出由 Domesticated Ant Games 開發的 2D 平台動作遊戲《重力迴路（Gravity Circuit）》Nintendo Switch 繁體中文版，支援語言為繁體中文、簡體中文、英文和日文，在....","",""
"""Epic Games Store 將推 Epic 首發計畫 透過獨佔讓開發者前六個月可拿 100% 收益分配""","https://gnn.gamer.com.tw/detail.php?sn=254992","2023-08-24 11:13:21","","Gnn","Taiwan","Entertainment","Chinese","Epic Games Store（EGS）宣布將推出 Epic 首發（EPIC FIRST RUN）計畫，讓研發廠商可以自己選擇透過在 EGS 獨佔發行遊戲、在前六個月有機會獲得 100% 收益。   Epic Games 表示，參加的遊戲廠商有機會在符合要求的作品登上 EGS....","",""
"""為旅程做好準備！摩托車競速賽車遊戲《極速騎行 5》現已上路""","https://gnn.gamer.com.tw/detail.php?sn=254990","2023-08-24 10:48:00","","Gnn","Taiwan","Entertainment","Chinese","Milestone 宣布，旗下最新摩托車賽車遊戲《極速騎行 5（RIDE 5）》已經上線，這款遊戲將讓玩家得以駕駛心儀的摩托車在全球各地的賽道上展開激烈競速。遊戲自 8 月 24 日起在 PlayStation 5，Xbox Series X|S，Steam 以及 Epic Game Store 發售。 ....","",""
"""「SEGA 情報局 EP.4」將於 8 月 25 日播出 帶來《女神異聞錄》系列介紹特輯""","https://gnn.gamer.com.tw/detail.php?sn=254989","2023-08-24 10:44:19","","Gnn","Taiwan","Entertainment","Chinese","本月推出的「SEGA 情報局 EP.4」，將由主持人部長和 Sandykaka 為玩家帶來全球累積銷量突破 900 萬套並深受許多人喜愛的《女神異聞錄》系列作新情報以及遊戲試玩介紹特輯。   本節目將在 2023 年 8 月 25 日（五）20:00 於 SEGA 官方 YouTube 播出。....","",""
"""《傭兵小鎮》釋出英雄「布洛迪」介紹""","https://gnn.gamer.com.tw/detail.php?sn=254986","2023-08-24 10:26:41","","Gnn","Taiwan","Entertainment","Chinese","暗黑風格模擬經營＆放置卡牌手機遊戲《傭兵小鎮》於今日釋出英雄「布洛迪」介紹，供玩家參考。官方表示，卡牌是遊戲的基礎，玩家可以通過抽卡來獲取不同的英雄。除了英雄本身，每個英雄還擁有獨特的技能天賦，這些天賦技能可以進一步提升英雄的實力。玩家可以根據不同的技能、屬性和天賦，靈活搭配出多樣化的陣容。在不同的場景中，選擇合....","",""
"""韓網熱帖／FIFTY FIFTY控公司「丟食物侮辱」！誇張藏零食網看傻""","https://www.ettoday.net/news/20230824/2567305.htm?from=rss","2023-08-23 16:09:00","","Ettoday","Taiwan","Entertainment","Chinese","記者郭采縈／綜合報導 南韓女團FIFTY FIFTY與經紀公司ATTRAKT爆出合約糾紛，要求解約，至今為止由於未能提出明確有利的證據，遭到網友一面倒撻伐。近日節目《想知道真相》也對事件進行獨家報導，其中成員家屬受訪時，聲稱經紀公司侮辱成員，把父母拿來的食物到在地上逼成員「趕快丟到垃圾桶」。 《詳全文...》","https://cdn2.ettoday.net/images/7191/c7191946.jpg",""
"""SENSE滿分！姜棟元被要求比愛心「突掏出自備小物」韓網笑翻：可愛瘋了""","https://www.ettoday.net/news/20230824/2567342.htm?from=rss","2023-08-23 16:07:00","","Ettoday","Taiwan","Entertainment","Chinese","被視為南韓「公共財」的高顏值男神姜棟元繼《嬰兒轉運站》後，時隔一年終於推出新電影《千博士驅魔研究所：雪景的秘密》，主演群22日在首爾舉辦發布會，在拍照時間時，早就已經預知會被要求比出各種愛心手勢的他竟有備而來，從口袋拿出自製愛心，笑翻全場，片段也被剪輯後在網路上瘋傳。 《詳全文...》","https://cdn2.ettoday.net/images/7191/c7191943.jpg",""
"""甄妮聽李玟音檔痛哭！ 喊抓霸凌者「要她陪葬」：事實勝於雄辯""","https://www.ettoday.net/news/20230823/2567334.htm?from=rss","2023-08-23 15:53:00","","Ettoday","Taiwan","Entertainment","Chinese","藝人李玟生前音檔在近日曝光，爆出去年錄製《中國好聲音》期間遭到節目團隊羞辱、霸凌，導致身心狀態都受到傷害。與她情同母女的甄妮為此相當憤怒，近日頻頻在臉書PO文發聲，坦言聽了音檔之後相當火大，要霸凌李玟的人「陪葬」。 《詳全文...》","https://cdn2.ettoday.net/images/7150/c7150120.jpg",""
