"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""陪郭台銘參拜 民眾黨籍縣長陳福海：提出有利金門政策都支持""","https://news.ltn.com.tw/news/politics/breakingnews/4404367","2023-08-22 11:28:20","","Ltn","Taiwan","Politics","Chinese","鴻海集團創辦人郭台銘今晚（22日）與民眾黨籍金門縣長陳福海、國民黨籍金門縣議長洪允典一同來到金門縣烈嶼三玄宮，廟方人員頻頻帶領現場民眾對郭台銘高喊「總統好」。 郭台銘致詞...…","",""
"""徐耀昌痛心針砭國民黨 南投副議長潘一全：心有戚戚焉""","https://news.ltn.com.tw/news/politics/breakingnews/4404328","2023-08-22 11:11:54","","Ltn","Taiwan","Politics","Chinese","針對前苗栗縣長徐耀昌今天臉書宣布退出國民黨， 並痛心檢討國民黨高層有3大缺失與總統參選人侯友宜的4大罪狀，先前即以「信的是哪一國無情關公」批侯的南投縣副議長潘一全，對於徐耀昌個...…","",""
"""情人節謝衣鳯、吳音寧大PK！「山道猴子」對上「鄉下牛郎」""","https://news.ltn.com.tw/news/politics/breakingnews/4404316","2023-08-22 11:09:33","","Ltn","Taiwan","Politics","Chinese","彰化縣第三選區立委選舉被喻為本屆「最有看頭」的立委選局！實力派國民黨立委謝衣鳯遭到民進黨前北農總經理吳音寧的挑戰，兩人在情人節首先「過招」，吳音寧推出「鄉下牛郎」梗，意外引出「...…","",""
"""瑞典國會議員今年訪台第二團 蔡總統明接見""","https://news.ltn.com.tw/news/politics/breakingnews/4404311","2023-08-22 10:58:48","","Ltn","Taiwan","Politics","Chinese","「台灣瑞典國會議員協會」（STPA）副主席馬提亞（Mathias Tegnér）等6位瑞典國會議員來台訪問，總統府發言人林聿禪晚間表示，總統府表達誠摯歡迎，蔡總統將於明天下午，於...…","",""
"""國民黨控綠能害台電虧損 賴清德競辦：惡質手段削弱台灣競爭力""","https://news.ltn.com.tw/news/politics/breakingnews/4404308","2023-08-22 10:50:32","","Ltn","Taiwan","Politics","Chinese","國民黨指控民進黨主席暨總統參選人賴清德與前立委賴勁麟，20年前在立法院強推《再生能源發展條例》，將再生能源法案跟電業法脫鈎，甚至直指發展綠能是台電虧損主因。賴清德競辦發言人陳世凱...…","",""
"""鍾佳濱：前瞻補助建設 屏東自來水、道路獲大幅改善""","https://news.ltn.com.tw/news/politics/breakingnews/4404298","2023-08-22 10:49:17","","Ltn","Taiwan","Politics","Chinese","立法院財政委員會今天（22日）與相關各部會至屏東縣政府考察屏東地區前瞻預算執行情形與財政收支劃分等議題，立委鍾佳濱表示，屏東縣政府在財政收支劃分對非六都縣市不公平的條件下，努力...…","",""
"""喊「下架國民黨」 徐耀昌再度說明用意""","https://news.ltn.com.tw/news/politics/breakingnews/4404310","2023-08-22 10:42:06","","Ltn","Taiwan","Politics","Chinese","前苗栗縣長徐耀昌在郭台銘苗栗縣造勢大會喊「下架國民黨」，引發熱議，徐耀昌今天（22日）宣布退出國民黨，下午受訪時解釋口出「下架國民黨」用意，是希望國民黨痛定思痛。 徐耀昌...…","",""
"""力挺郭台銘、回鍋選立委？徐耀昌：逼急了「沒有什麼絕對」""","https://news.ltn.com.tw/news/politics/breakingnews/4404299","2023-08-22 10:31:45","","Ltn","Taiwan","Politics","Chinese","前苗栗縣長徐耀昌宣布退出國民黨，痛批國民黨提名侯友宜；部分人士指稱他退黨、在郭台銘「主流民意大聯盟」造勢晚會說出「下架國民黨」，是有意參選立委，徐耀昌今天說，是否參選立委並不一...…","",""
"""退黨怒轟侯友宜！徐耀昌：國民黨提出這種人選能看嗎？""","https://news.ltn.com.tw/news/politics/breakingnews/4404277","2023-08-22 10:19:24","","Ltn","Taiwan","Politics","Chinese","前苗栗縣長徐耀昌10日參加鴻海集團及永齡基金會創辦人郭台銘「主流民意大聯盟」苗栗場造勢晚會，脫口說出「下架國民黨」，國民黨黨中央函請徐耀昌陳述意見，不過，他今天（22日）凌晨發...…","",""
"""中媒稱雙城論壇是兩岸「和平之樹」 蔣萬安：多數民眾樂見交流""","https://news.ltn.com.tw/news/politics/breakingnews/4404288","2023-08-22 10:19:06","","Ltn","Taiwan","Politics","Chinese","台北市長蔣萬安將率市府出席8月29至31日在上海舉辦的「雙城論壇」，中國國台辦旗下的「中國台灣網」評論指雙城論壇是兩岸關係中的「和平之樹」，蔣萬安今受訪回應，絕大多數民眾都不希...…","",""
