"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""韓國殘疾人乒乓球賽 港隊奪1金1銀6銅""","https://hk.sports.yahoo.com/news/%E9%9F%93%E5%9C%8B%E6%AE%98%E7%96%BE%E4%BA%BA%E4%B9%92%E4%B9%93%E7%90%83%E8%B3%BD-%E6%B8%AF%E9%9A%8A%E5%A5%AA1%E9%87%911%E9%8A%806%E9%8A%85-160514857.html?src=rss","2023-08-22 16:05:14","體路","All In Yahoo","Hong Kong","Sports","Chinese","【體路專訊】ITTF韓國殘疾人乒乓球公開賽周一（21日）圓滿結束，港隊共奪1金1銀6銅，當中焦瑾珊在TT7級女單賽事封后。 港隊派出兩位球手參加TT7級女單項目，焦瑾珊及王愉程在小組賽分別以兩戰全勝及1勝1負戰績晉身淘汰賽。八強賽中，焦瑾珊輪空，王愉程則直落3局（11:6、11:8、11:7）撃敗巴西球手Aline MENESES FERREIRA。四強賽事，王愉程惜以局數1-3（7:11、10:12、12:10、7:11）不敵東道主選手Kim Seongok，遺憾落敗，在不設季軍戰嘅情況下取得一面銅牌。 焦瑾珊四強就面對墨西哥選手Claudia PEREZ VILLALBA，最終以局數3-2（9:11、11:9、4:11、11:8、11:5）勝出，躋身決賽對淘汰王愉程的Kim Seongok。決賽中，焦瑾珊順利以局數3-1（11:8、3:11、11:3、11:9）勝出，繼台中市公開賽後，再奪得女單金牌。 男子TT6級單打方面，蔡慶林在小組賽入面三戰全勝而且不失一局晉級。蔡慶林八強賽輪空，四強以3-0（11:7、11:8、14:12）將東道主球手Lee Se Ho淘汰。可惜決賽中蔡慶林","",""
"""比錫達斯嫌貴拒簽拉莫斯""","https://hk.sports.yahoo.com/news/%E6%AF%94%E9%8C%AB%E9%81%94%E6%96%AF%E5%AB%8C%E8%B2%B4%E6%8B%92%E7%B0%BD%E6%8B%89%E8%8E%AB%E6%96%AF-151018517.html?src=rss","2023-08-22 15:10:18","now.com 體育","All In Yahoo","Hong Kong","Sports","Chinese","【Now Sports】贏過世界盃、2次歐國盃、4次歐聯、5次西甲，但沙治奧拉莫斯回復自由身後，兩度被球會公開拒絕。沙治奧拉莫斯（Sergio Ramos）今夏離開了效力2年的巴黎聖日耳門，雖然已經37歲，但仍未有退役打算，而且就算獲得美國、沙特阿拉伯、巴西球會青睞，首選仍然是留在歐洲。這位前皇家馬德里、西班牙國家隊隊長早前與比錫達斯接洽，但未能成事。這支土超勁旅周一發聲明表示：「考慮到球會的利益，談判因為在財務問題上的分歧而終止。」今次已是拉莫斯第二度被球會公開拒絕。他早前曾經傾談重返母會西維爾的可能性，但會長荷西卡斯度之後表示：「他是一名非凡的球員，但現在他不能成為球隊的一員。」","",""
"""【銀牌籃球】陳張敏榮休感圓滿 南華勝方決賽16分不敵滿貫""","https://hk.sports.yahoo.com/news/%E9%8A%80%E7%89%8C%E7%B1%83%E7%90%83-%E9%99%B3%E5%BC%B5%E6%95%8F%E6%A6%AE%E4%BC%91%E6%84%9F%E5%9C%93%E6%BB%BF-%E5%8D%97%E8%8F%AF%E5%8B%9D%E6%96%B9%E6%B1%BA%E8%B3%BD16%E5%88%86%E4%B8%8D%E6%95%B5%E6%BB%BF%E8%B2%AB-145621060.html?src=rss","2023-08-22 14:56:21","體路","All In Yahoo","Hong Kong","Sports","Chinese","【體路專訊】香港籃球銀牌賽男子高級組勝方決賽今晚（22日）上演，賽前籃總特別舉辦儀式，向上屆甲一聯賽盟主南華球員頒發冠軍指環，同時亦為陳張敏及李劍煌舉辦榮休儀式，前者直言對17年甲一生涯感圓滿。惟南華隨後力戰下70：86不敵滿貫，將跌入負方組鬥香港東方。 南華今季陣容有不少變動，往屆主力有梁兆華離隊、陳張敏及李劍煌退役，並加入不少新血，由羅意庭、朱亮及余理洋等以老帶新。今日銀牌勝方決賽展開前，籃總特意舉辦冠軍指環頒發儀式，南華球員同時送上鮮花予榮休的陳張敏，李劍煌則未有出席儀式，由他人代領。 儀式後不少球迷排隊向陳張敏集郵，這位老臣子為南華效力17年，贏得6屆甲一總冠軍兼於2013年當選最有價值球員，直言生涯圓滿：「南華是我第一支甲一球隊，好難得可以在同一間球會打到退休，亦好開心能在生涯高峰點退下來，特別感謝洪生（班主洪游奕）一直以來的照顧。」談及退役決定，張敏直言不捨，但認為能放心交棒：「早一兩年已覺得差不多時間（退役），看到後生隊友的成長，放心可以傳承給他們，讓他們有更多時間上陣，成長得更快。」 雖然南華今季陣容變動不少，張敏明言對球隊有信心：「其他隊伍亦有不少變動，我們亦有8個隊","",""
"""車仔又傷一件！卓古麥卡開刀唞6周""","https://hk.sports.yahoo.com/news/%E8%BB%8A%E4%BB%94%E5%8F%88%E5%82%B7-%E4%BB%B6-%E5%8D%93%E5%8F%A4%E9%BA%A5%E5%8D%A1%E9%96%8B%E5%88%80%E5%94%9E6%E5%91%A8-144547968.html?src=rss","2023-08-22 14:45:47","now.com 體育","All In Yahoo","Hong Kong","Sports","Chinese","【Now Sports】車路士周二宣佈翼鋒卡尼卓古麥卡為膝部做手術，至少休養6周。雖然車路士在夏天大事增兵，但19歲的卡尼卓古麥卡（Carney Chukwuemeka）在頭兩場英超都踢正選，明顯獲得新帥普捷天奴器重，可皆他上仗對韋斯咸受創，被迫提早退下火線。車路士在聲明中證實：「卓古麥卡左膝受傷，周一晚上接受了手術。這位19歲球員將與球會的醫療部門合作，在Cobham訓練中心進行康復治療。」據知，他將至少休養6周。車路士在季初已受傷兵困擾，有多達8名一隊球員成為十字軍，除了卓古麥卡左膝受傷之外，還有新任隊長域斯占士、查禾查路巴、韋斯利科芬拿、般奴巴迪亞斯、今夏才來投的安官古等。","",""
"""雌獅軍團粉絲接機得個桔""","https://hk.sports.yahoo.com/news/%E9%9B%8C%E7%8D%85%E8%BB%8D%E5%9C%98%E7%B2%89%E7%B5%B2%E6%8E%A5%E6%A9%9F%E5%BE%97%E5%80%8B%E6%A1%94-141623319.html?src=rss","2023-08-22 14:16:23","now.com 體育","All In Yahoo","Hong Kong","Sports","Chinese","【Now Sports】英格蘭女足以世界盃亞軍身份回國，不少粉絲專程到場接機，可惜未能如願。「雌獅軍團」英格蘭缺少多名主力下，仍然殺入世界盃決賽，惜以0:1不敵西班牙，屈居亞軍。英格蘭大軍日前由澳洲返抵英國希斯路機場，早有大批粉絲到場歡迎英雌，當中有兩母女來自高雲地利，也有夫婦來自高車士打。有人舉起紙牌：「感謝你們啟發我和整個國家。」另一人則寫：「你們表現非常優秀，歡迎回家，你們令我愛上足球。」可惜的是，英軍選擇在隱藏閘口離開機場，令球迷與心目中的英雌緣慳一面。英足總發言人回應指是「正常程序」。","",""
"""【羽毛球世錦賽】李晉熙／吳芷柔反敗為勝 偕女雙楊雅婷／楊霈霖入32強""","https://hk.sports.yahoo.com/news/%E7%BE%BD%E6%AF%9B%E7%90%83%E4%B8%96%E9%8C%A6%E8%B3%BD-%E6%9D%8E%E6%99%89%E7%86%99-%E5%90%B3%E8%8A%B7%E6%9F%94%E5%8F%8D%E6%95%97%E7%82%BA%E5%8B%9D-%E5%81%95%E5%A5%B3%E9%9B%99%E6%A5%8A%E9%9B%85%E5%A9%B7-%E6%A5%8A%E9%9C%88%E9%9C%96%E5%85%A532%E5%BC%B7-141526318.html?src=rss","2023-08-22 14:15:26","體路","All In Yahoo","Hong Kong","Sports","Chinese","【體路專訊】2023世界羽毛球錦標賽續於丹麥哥本哈根上演次天賽事，世界排名第25位的香港混雙組合李晉熙/吳芷柔首圈迎戰巴西代表Davi Silva/Sania Lima，在先失一局情況下連扳兩城反勝晉級，女雙「雙楊配」楊雅婷/楊霈霖亦旗開得勝打入32強。 港隊今日有混雙及女雙各兩對組合亮相，鄧俊文/謝影雪較早時間橫掃菲律賓對手球手Alyssa Ysabel Leonardo/Alvin Morada，率先取得混雙32強席位，另一香港拍檔李晉熙/吳芷柔迎擊世界排名53位的巴西代表Davi Silva/Sania Lima，開局狀態欠佳，接戰即連失5分，隨後漸漸上力追平12：12，不過技術暫停後又被拉開分差，末段力挽狂瀾扳成20平手，卻在「刁時」下惜負20：22。 落後一局的「李吳配」第二局調整後全力反撲，重拾手感取得領前優勢，一度拋離7分波，儘管被對手力追，仍以21：19扳回一城。進入決勝局，李晉熙/吳芷柔勢如破竹，最終以21：7奠勝完成逆轉，晉級後將與14號種子馬來西亞組合陳堂傑/杜依蔚爭入16強。 女雙方面，港隊憂喜參半，世界排名27的楊雅婷/楊霈霖首圈對德國的Linda Efler","",""
"""傳摩連奴謝拉特爭簽格連活""","https://hk.sports.yahoo.com/news/%E5%82%B3%E6%91%A9%E9%80%A3%E5%A5%B4%E8%AC%9D%E6%8B%89%E7%89%B9%E7%88%AD%E7%B0%BD%E6%A0%BC%E9%80%A3%E6%B4%BB-132342155.html?src=rss","2023-08-22 13:23:42","now.com 體育","All In Yahoo","Hong Kong","Sports","Chinese","【Now Sports】打甩了企圖強姦女友等3項控罪的美臣格連活即將離開曼聯，但不愁沒有出路。英國《太陽報》報道，沙特阿拉伯的艾列迪法克對美臣格連活（Mason Greenwood）有興趣，更願意提供高達1000萬鎊的年薪。還有數家沙特球會都有意招攬，但艾列迪法克由英格蘭傳奇謝拉特執教，今夏已羅致了佐敦軒達臣，同聲同氣下，首次外流的格連活將更容易適應。除此之外，由前曼聯領隊摩連奴帶領的羅馬、土超勁旅加拉塔沙雷、伊斯坦堡體育會亦希望羅致格連活。若這位英格蘭射手屬意留在英格蘭也有選擇，據知兩家英冠球會都有機會出手。曼聯方面，肯定希望盡快送走21歲的格連活，事關他在9月1日轉會窗關閉後仍然留隊，紅魔將需要付出數百萬鎊才可以解除他那份直至2025年的合約。","",""
"""【銀牌籃球】泰那因傷缺陣 東方29分大勝永倫""","https://hk.sports.yahoo.com/news/%E9%8A%80%E7%89%8C%E7%B1%83%E7%90%83-%E6%B3%B0%E9%82%A3%E5%9B%A0%E5%82%B7%E7%BC%BA%E9%99%A3-%E6%9D%B1%E6%96%B929%E5%88%86%E5%A4%A7%E5%8B%9D%E6%B0%B8%E5%80%AB-125625829.html?src=rss","2023-08-22 12:56:25","體路","All In Yahoo","Hong Kong","Sports","Chinese","【體路專訊】香港籃球銀牌賽男子高級組賽事今晚（22日）續於修頓場館舉行，頭場由職業軍香港東方與永倫於負方組相遇，後者在主力泰那因傷缺陣下雖有另一洋將查雲希爾交出25分13籃板的雙雙數據，惟最終仍以68：97不敵有5人得分上雙的東方，今屆銀牌之旅正式告終。 永倫及東方分別於月初的「Big 4」大戰中不敵滿貫及南華，齊齊跌入負方組賽事，兩軍隨後分別取得一勝，今日於負方組碰頭。永倫主力泰那上仗鬥康仁福建時末段傷出，消息指檢查過後為筋腱拉傷，未有骨裂，不過今日鬥東方一戰未能上陣。改由今屆加盟的另一洋將查雲希爾領軍的永倫今場首節表現不及東方，後者在陳兆榮、基拔、麥洛連、朱梓鎔大灑3分雨下迅速取得領先，更曾帶著20分優勢，首節領先31：17。 不過東方於第二節未能延續氣勢，更多次犯規把永倫球員送上罰球線，首節僅得2分的查雲希爾單節攻入18分下助球隊把差距收窄至4分，東方則有梁嘉顯外投止血，完半場續領先50：44。東方球員雖然個犯纏身，換邊後仍再次主導局勢，當中蘇利文單節取得12分，與基拔及朱梓鎔分擔得分任務，3人單節合取25分下助東方再度拉開，完第三節領先80：57。今仗查雲希爾上陣34分鐘並交出","",""
"""理文0:3負浦和紅鑽 無緣晉級亞冠盃分組賽""","https://hk.sports.yahoo.com/news/%E7%90%86%E6%96%870-3%E8%B2%A0%E6%B5%A6%E5%92%8C%E7%B4%85%E9%91%BD-%E7%84%A1%E7%B7%A3%E6%99%89%E7%B4%9A%E4%BA%9E%E5%86%A0%E7%9B%83%E5%88%86%E7%B5%84%E8%B3%BD-124713994.html?src=rss","2023-08-22 12:47:13","香港電台-體育","All In Yahoo","Hong Kong","Sports","Chinese","亞冠盃附加賽，港超聯理文作客0:3不敵日職聯浦和紅鑽，無緣晉級分組賽。 衛冕冠軍浦和紅鑽坐鎮主場埼玉2002體育場，開波6分鐘內，先後由小泉佳穗和老將興梠慎三連入兩球，協助球隊領先兩球完上半場。 理文在換邊後無法打開紀錄，浦和中場球員關根貴大在下半場補時3分鐘鎖定勝局，協助球隊晉身分組賽。","",""
"""【亞冠盃】紅鑽6分鐘入兩球 理文淨吞三蛋出局""","https://hk.sports.yahoo.com/news/%E4%BA%9E%E5%86%A0%E7%9B%83-%E7%B4%85%E9%91%BD6%E5%88%86%E9%90%98%E5%85%A5%E5%85%A9%E7%90%83-%E7%90%86%E6%96%87%E6%B7%A8%E5%90%9E%E4%B8%89%E8%9B%8B%E5%87%BA%E5%B1%80-124204221.html?src=rss","2023-08-22 12:42:04","體路","All In Yahoo","Hong Kong","Sports","Chinese","【體路專訊】首次代表香港出戰亞冠盃的理文，今晚作客埼玉2002體育場挑戰上屆盟主浦和紅鑽，開賽6分鐘未站穩陣腳已連失兩球，猶幸門將陳嘉豪隨後力挽狂瀾，惟下半場換入安尼亞及黃威等主力反撲也未能破蛋，完場前再被關根貴大破關，終以0：3見負，未能與另一香港代表傑志一同亮相分組賽，今屆亞冠盃之旅亦隨即畫上句號。 亞冠新丁理文今仗變陣改踢541，收起愛沙尼亞中鋒安尼亞及港腳黃威，改派余煒廉及胡晉銘兩位守將擔正，開賽初段一度保持控球在腳，可惜當主隊加快速度，3分鐘已失守。中島翔哉右路送前，大久保智明無人看管下底 線傳中，小泉佳穗旦前輕易撞入打開紀錄。理文主帥曾昭達賽前已提醒球員，盡量避免比賽早段被拉開比分，然而事與願違。3分鐘後紅鑽再利用互傳撕破理文防線，酒井宏樹右路疊瓦式傳中，37歲的前國腳興梠慎三在余煒廉追纏下側額頂入，令陳嘉豪再一次失守。 理文上半場以基華尼頓最為搶鏡，18分鐘他接應胡晉銘長傳，於左邊K角位彎向遠柱，被西川周作勉強托出；5分鐘後他與巴西同鄉艾華頓禁區內互傳後再第一時間起腳，又逃不出西川周作十指關，理文半場落後0：2。 換邊後紅鑽換入荷蘭前鋒白賴仁連斯臣及柴戶海，取代老將興梠慎","",""
