"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""PlayStation 第一款遙控遊玩專用裝置「PlayStation Portal」將於今年下半年上市""","https://gnn.gamer.com.tw/detail.php?sn=254995","2023-08-24 13:23:05","","Gnn","Taiwan","Entertainment","Chinese","索尼互動娛樂（SIE）日前在 PlayStation 官方部落格公布了專用 PS5 遙控遊玩裝置「PlayStation Portal Remote Player」以及兩款新無線耳機「Pulse Elite」和「Pulse Explore」的上市時程與價格等資訊。     ....","",""
"""马尔代夫外交部长；马尔代夫及其人民的未来取决于COP28的成功""","https://www.wam.ae/zh-CN/details/1395303189282","2023-08-24 12:00:08","Fawzia Elesawi/ Katia El Hayek","Wam","United Arab Emirates","World","Chinese","","",""
"""《Shotgun King: The Final Checkmate》PS4 / PS5 / Switch 中文版問世""","https://gnn.gamer.com.tw/detail.php?sn=254994","2023-08-24 11:35:27","","Gnn","Taiwan","Entertainment","Chinese","H2 Interactive 宣布，於今日（8 月 24 日）在 PlayStation Store 和香港 Nintendo eShop 上正式推出由 PUNKCAKE Delicieux 開發的策略 Roguelike 遊戲《Shotgun King: The Final Checkmate》PS4 / P....","",""
"""阿联酋中央银行发布最新统计数据：银行业存款显著增长""","https://www.wam.ae/zh-CN/details/1395303189262","2023-08-24 11:23:18","方海山/ Katia El Hayek","Wam","United Arab Emirates","Business","Chinese","","",""
"""15歲孩被急救「一邊要紙筆」！ 醫CPR到一半看4字：真的不捨""","https://www.ettoday.net/news/20230824/2564948.htm?from=rss","2023-08-24 11:21:00","","Ettoday","Taiwan","Health","Chinese","有些忌諱是寧可信其有，不可信其無，農曆七月俗稱「鬼門開」，其禁忌雖隨著時代演進，有了改變，但仍有不少「不要鐵齒」的潛規則。而以科學為基礎的醫院，也有不少忌諱，生老病死各種人生百態，也想見有許多故事發生。醫師分享，先前有一位小朋友，人正在被急救的當下，卻向醫護們要來紙筆，努力寫下對父母的感謝和道別，讓醫師直呼，真的非常令人不捨。 《詳全文...》","https://cdn2.ettoday.net/images/3599/c3599134.jpg",""
"""街機風格 2D 平台動作遊戲《重力迴路》Switch 中文版今日上市""","https://gnn.gamer.com.tw/detail.php?sn=254993","2023-08-24 11:14:45","","Gnn","Taiwan","Entertainment","Chinese","H2 Interactive 於今日（8 月 24 日）在香港 Nintendo eShop 正式推出由 Domesticated Ant Games 開發的 2D 平台動作遊戲《重力迴路（Gravity Circuit）》Nintendo Switch 繁體中文版，支援語言為繁體中文、簡體中文、英文和日文，在....","",""
"""Epic Games Store 將推 Epic 首發計畫 透過獨佔讓開發者前六個月可拿 100% 收益分配""","https://gnn.gamer.com.tw/detail.php?sn=254992","2023-08-24 11:13:21","","Gnn","Taiwan","Entertainment","Chinese","Epic Games Store（EGS）宣布將推出 Epic 首發（EPIC FIRST RUN）計畫，讓研發廠商可以自己選擇透過在 EGS 獨佔發行遊戲、在前六個月有機會獲得 100% 收益。   Epic Games 表示，參加的遊戲廠商有機會在符合要求的作品登上 EGS....","",""
"""為旅程做好準備！摩托車競速賽車遊戲《極速騎行 5》現已上路""","https://gnn.gamer.com.tw/detail.php?sn=254990","2023-08-24 10:48:00","","Gnn","Taiwan","Entertainment","Chinese","Milestone 宣布，旗下最新摩托車賽車遊戲《極速騎行 5（RIDE 5）》已經上線，這款遊戲將讓玩家得以駕駛心儀的摩托車在全球各地的賽道上展開激烈競速。遊戲自 8 月 24 日起在 PlayStation 5，Xbox Series X|S，Steam 以及 Epic Game Store 發售。 ....","",""
"""「SEGA 情報局 EP.4」將於 8 月 25 日播出 帶來《女神異聞錄》系列介紹特輯""","https://gnn.gamer.com.tw/detail.php?sn=254989","2023-08-24 10:44:19","","Gnn","Taiwan","Entertainment","Chinese","本月推出的「SEGA 情報局 EP.4」，將由主持人部長和 Sandykaka 為玩家帶來全球累積銷量突破 900 萬套並深受許多人喜愛的《女神異聞錄》系列作新情報以及遊戲試玩介紹特輯。   本節目將在 2023 年 8 月 25 日（五）20:00 於 SEGA 官方 YouTube 播出。....","",""
"""《傭兵小鎮》釋出英雄「布洛迪」介紹""","https://gnn.gamer.com.tw/detail.php?sn=254986","2023-08-24 10:26:41","","Gnn","Taiwan","Entertainment","Chinese","暗黑風格模擬經營＆放置卡牌手機遊戲《傭兵小鎮》於今日釋出英雄「布洛迪」介紹，供玩家參考。官方表示，卡牌是遊戲的基礎，玩家可以通過抽卡來獲取不同的英雄。除了英雄本身，每個英雄還擁有獨特的技能天賦，這些天賦技能可以進一步提升英雄的實力。玩家可以根據不同的技能、屬性和天賦，靈活搭配出多樣化的陣容。在不同的場景中，選擇合....","",""
"""Chandrayaan-3成功登月，印度成为第四个实现月球探测的国家""","https://www.wam.ae/zh-CN/details/1395303189228","2023-08-24 09:31:12","方海山","Wam","United Arab Emirates","Top","Chinese","","",""
"""泫雅作客SOMI節目 爽快回應與舊愛DAWN的「可能性」""","http://www.bastillepost.com/hongkong/article/13268511-%e6%b3%ab%e9%9b%85%e4%bd%9c%e5%ae%a2somi%e7%af%80%e7%9b%ae-%e7%88%bd%e5%bf%ab%e5%9b%9e%e6%87%89%e8%88%87%e8%88%8a%e6%84%9bdawn%e7%9a%84%e3%80%8c%e5%8f%af%e8%83%bd%e6%80%a7%e3%80%8d","2023-08-24 09:00:26","Leung Ka Lai","Bastillepost","Hong Kong","Top","Chinese","泫雅作客SOMI節目《Yes or Hot》，被問到會否跟舊愛DAWN一起出演戀綜節目《換乘戀愛3》，泫雅反應笑爆全場。 曾是韓國模範情侶的泫雅、DAWN（金曉鐘）拍拖7年後，在2022年12月宣告分手。當時分手消息來得太突然，令粉絲們、甚至大批網民都表示十分驚訝。分手消息公開後，兩位一而再、再而三地被傳復合，但DAWN曾回應指大家依然是好友，希望外界不要將焦點過度投放在他們關係之上。日前，泫雅作客全昭彌（SOMI）的網絡節目《Yes or Hot》，再次被問起跟DAWN有關的問題。 View this post on Instagram A post shared by Hyun Ah (@hyunah_aa) 節目規則是SOMI問問題，如果答案是「Yes」就可以跳到下一題，若果是「No」的話就要吃辛辣食物。而每個回合的問題辛辣度會漸漸升級，食物的辣度亦會「加辣」。節目一開始，SOMI就已經問泫雅：「如果收到《換乘戀愛3》的邀請，會有意參加嗎？」泫雅聽到問題後馬上大叫：「喂！」然後又回答：「可以！」之後更對著鏡頭向《換乘戀愛》的製作組公開表示：「請聯絡我」令在場工作人員都大笑。《換乘戀愛》是韓國一個戀愛綜藝節目，邀請幾對已分手的情侶相處，讓大家尋找新戀情或復合。 觀看短片請到以下網址：https://youtu.be/ClT_cAbo2Ps?si=w0h5DKfBGUdtbi4W SOMI之後再問泫雅當初分手後刪除了社交平台上的照片是否為了版面好看，泫雅爽放地回應：「Yes！」並解釋指刪走不喜歡的照片是為了版面更好看，而且在鏡頭前向DAWN表達：「你就照你舒服的方式做吧」。SOMI再問泫雅：「有後悔過公開戀情嗎？」泫雅大方表示沒有。相愛7年的DAWN跟泫雅在2022年2月曾一度傳出求婚成功，但DAWN之後在節目上澄清兩位並未有訂婚，而當初送贈泫雅的戒指亦只是「喜歡對方」的表現。","",""
"""30萬標下20公斤「魚王」買家即場「咁做」贏得民眾掌聲""","http://www.bastillepost.com/hongkong/article/13258852-30%e8%90%ac%e6%a8%99%e4%b8%8b20%e5%85%ac%e6%96%a4%e3%80%8c%e9%ad%9a%e7%8e%8b%e3%80%8d%e8%b2%b7%e5%ae%b6%e5%8d%b3%e5%a0%b4%e3%80%8c%e5%92%81%e5%81%9a%e3%80%8d%e8%b4%8f%e5%be%97%e6%b0%91%e7%9c%be","2023-08-24 09:00:24","Chong Ching Ying, Jon","Bastillepost","Hong Kong","Top","Chinese","重達20公斤「魚王」被拍賣，有買家以30萬元人民幣高價購買，卻當場宣布會將其放生。 觀看影片 據內媒報導，日前在清遠市首屆開漁季暨北江美食文化月活動上，有漁民在北江打撈一條重達20公斤的黑皖魚，並於是次活動上榮登「魚王」。賣家對魚王的拍賣競標十分踴躍，開價已高達10萬人民幣。最終一輪激烈的競爭，以30萬元為成交價格。 該名成交者為一名企業家，在上台分享交接支票儀式後，當場表明自己將會放生該「魚王」。得到現場市民的鼓掌歡呼，而該活動主辦單位亦表示，拍賣所籌得的126萬元的款項，將用於北江文化建設，為北江生態經濟一帶的景觀進行升級及改造。 對比起早前的不當放生風氣，此舉引來現場不少民眾紛紛為該買家送上掌聲。而有網民則戲言，「這才是30萬打水飄」 、「回頭我又把它撈出來，再賣一次那豈不美哉」、「人好心善還有錢」、 「主持人格局瞬間小了，明年不敢這樣問了」。","",""
"""HOY TV身心靈式旅遊節目《四遊記》 黃德斌王丹妮走過1200公里尋找解壓奧秘""","http://www.bastillepost.com/hongkong/article/13269044-hoy-tv%e8%ba%ab%e5%bf%83%e9%9d%88%e5%bc%8f%e6%97%85%e9%81%8a%e7%af%80%e7%9b%ae%e3%80%8a%e5%9b%9b%e9%81%8a%e8%a8%98%e3%80%8b-%e9%bb%83%e5%be%b7%e6%96%8c%e7%8e%8b%e4%b8%b9%e5%a6%ae%e8%b5%b0%e9%81%8e1200","2023-08-24 09:00:01","Li Ka Yan","Bastillepost","Hong Kong","Top","Chinese","黃德斌及王丹妮合作主持HOY TV旅遊節目《四遊記》，為每位香港人取經，將放鬆及洗滌心靈的方法分享給大家。 《四遊記》是次走訪了由德島縣、高知縣、愛媛縣、香川縣組成的日本四國，當中環形朝聖之路-「四國遍路」更加是全球享負盛名！黃德斌及王丹妮走遍88間寺廟，體驗長達約1200公里的朝聖之路，尋找解壓奧秘。 他們於節目中參與多個讓心靈平靜活動，包括瀑布修行，火供（以火燒掉煩惱）、水中坐禪、打坐、冥想及寫經等。黃德斌於節目內與日本靚仔住持在寺廟健身，齊齊騷肌，大鬥體力；黃德斌更於節目中分享人生30低潮期，曾經迷失到否定自我，最後靠做運動才能重新出發，大為感觸。 洗滌心靈除了自我修行，做喜愛的事情亦是自我放鬆的一種。單車愛好者黃德斌與王丹妮於被獲選為「全世界最好單車路線」的島波海道踏單車，帶出學懂愛人、更要學懂愛自己！他亦會拜訪日本「僧侶系」音樂和尚 – 藥師寺寬邦，齊齊來一趟心身靈之旅。 此外，美味食物能療癒人心，親手製作食物更令心身放鬆！黃德斌及王丹妮於贊岐會親手製作當地名物 – 烏冬，更會乘搭烏冬的士，訪尋當地特色烏冬店。","",""
"""高雄市百貨公司上半年整體營收近400億元 成長40％""","https://ec.ltn.com.tw/article/breakingnews/4406462","2023-08-24 08:59:49","","Ltn","Taiwan","Business","Chinese","今年上半年高雄市百貨公司的整體營收逼近400億元，全國居第2名。 根據財政部統計，今年1至6月高雄市百貨公司銷售總額達399.93億元。僅低於台北市的802.77億元...…","",""
"""美團第2季經調整盈利按年大升2.72倍""","http://www.bastillepost.com/hongkong/article/13269259-%e7%be%8e%e5%9c%98%e7%ac%ac2%e5%ad%a3%e7%b6%93%e8%aa%bf%e6%95%b4%e7%9b%88%e5%88%a9%e6%8c%89%e5%b9%b4%e5%a4%a7%e5%8d%872-72%e5%80%8d","2023-08-24 08:59:15","Tong Po Yan","Bastillepost","Hong Kong","Top","Chinese","美團(03690)公布截至今年6月底止季度業績，按非國際財務報告準則的經調整溢利淨額76.6億元(人民幣‧下同)，按年大升2.72倍；收入679.64億元，也較去年同期增33.4%。 期內該公司經調整EBITDA為76.82億元，按年升1.02倍。截至6月底止半年經調整EBITDA則達139.44億元，半年淨溢利131.51億元，扭虧為盈。 若按國際財務報告準則，美團第2季溢利46.89億元，經營溢利47.13億元；截至6月底止半年，集團溢利80.47億元，經營溢利82.99億元，全部扭虧為盈。集團維持不擬派中期股息。 美團指出，集團在第2季度的即時配送交易筆數，達54億筆，較去年同期提升31.6%。核心本地商業分部經營溢利達111億元，按年增長34.8%；新業務分部的經營虧損同比收窄至52億元。季度經調整EBITDA及經調整溢利淨額更創歷史新高。 期內美團亦實現經營現金流入109億元。截至今年6月底，集團持有現金與現金等價物，以及短期理財投資，分別為270億元和932億元。","",""
"""輕休旅YARiS CROSS來勢洶洶 預售價67.5萬元起""","https://ec.ltn.com.tw/article/breakingnews/4406459","2023-08-24 08:56:02","","Ltn","Taiwan","Business","Chinese","和泰（2207）代理的TOYOTA全新輕休旅車YARiS CROSS來勢洶洶，今天宣布預售價，入門款汰舊換新預購價67.5萬元起。 YARiS CROSS於全球首發...…","",""
"""174所大学的传媒学生齐聚阿布扎比，参与第二届全球媒体大会""","https://www.wam.ae/zh-CN/details/1395303189207","2023-08-24 08:54:15","方海山","Wam","United Arab Emirates","Top","Chinese","","",""
"""阿布扎比警察总局与战略合作伙伴联手，确保2023-2024学年学生的交通安全""","https://www.wam.ae/zh-CN/details/1395303189225","2023-08-24 08:54:15","方海山","Wam","United Arab Emirates","Top","Chinese","","",""
"""美国男篮国家队结束阿布扎比行程，体验阿联酋文化""","https://www.wam.ae/zh-CN/details/1395303189219","2023-08-24 08:54:14","方海山","Wam","United Arab Emirates","Sports","Chinese","","",""
"""中鴻：鋼價支撐力道不弱 9月盤價跟進調漲""","https://ec.ltn.com.tw/article/breakingnews/4406448","2023-08-24 08:48:33","","Ltn","Taiwan","Business","Chinese","中鴻（2014）今天日開出內外銷盤價，內銷的冷、熱軋產品每噸都漲900元，鍍鋅更是大漲1000元，外銷則依照產品及地區別調漲；整體來看，中鴻此次盤價漲價幅度與已開盤的中鋼...…","",""
