good_sentence,bad_sentence,suite,good_cond,bad_cond,syntaxgym_id,item_id
The painting that the artist painted deteriorated.,The painting that the artist deteriorated painted.,center_embed,plaus,implaus,1,1
The storm that the captain feared subsided.,The storm that the captain subsided feared.,center_embed,plaus,implaus,2,2
The girl that the bug frightened shouted.,The girl that the bug shouted frightened.,center_embed,plaus,implaus,3,3
The baby that the woman held yelled.,The baby that the woman yelled held.,center_embed,plaus,implaus,4,4
The soldier that the bullet wounded died.,The soldier that the bullet died wounded.,center_embed,plaus,implaus,5,5
The storm that the scientist predicted intensified.,The storm that the scientist intensified predicted.,center_embed,plaus,implaus,6,6
The convict that the cop arrested escaped.,The convict that the cop escaped arrested.,center_embed,plaus,implaus,7,7
The computer that the secretary bought crashed.,The computer that the secretary crashed bought.,center_embed,plaus,implaus,8,8
The floor that the maid swept cracked.,The floor that the maid cracked swept.,center_embed,plaus,implaus,9,9
The yacht that the millionaires bought sank.,The yacht that the millionaires sank bought.,center_embed,plaus,implaus,10,10
The shirt that the man bought ripped.,The shirt that the man ripped bought.,center_embed,plaus,implaus,11,11
The water that the maid poured evaporated.,The water that the maid evaporated poured.,center_embed,plaus,implaus,12,12
The building that the workers built collapsed.,The building that the workers collapsed built.,center_embed,plaus,implaus,13,13
The bones that the doctor examined broke.,The bones that the doctor broke examined.,center_embed,plaus,implaus,14,14
The building that the workers repaired deteriorated.,The building that the workers deteriorated repaired.,center_embed,plaus,implaus,15,15
The ship that the workers built sank.,The ship that the workers sank built.,center_embed,plaus,implaus,16,16
The horse that the boy rode bucked.,The horse that the boy bucked rode.,center_embed,plaus,implaus,17,17
The water that the chef needed evaporated.,The water that the chef evaporated needed.,center_embed,plaus,implaus,18,18
The tree that the old man cut fell.,The tree that the old man fell cut.,center_embed,plaus,implaus,19,19
The letter that the author wrote arrived.,The letter that the author arrived wrote.,center_embed,plaus,implaus,20,20
The glass that the athlete hit cracked.,The glass that the athlete cracked hit.,center_embed,plaus,implaus,21,21
The bomb that the terrorist built exploded.,The bomb that the terrorist exploded built.,center_embed,plaus,implaus,22,22
The meat that the man cooked burned.,The meat that the man burned cooked.,center_embed,plaus,implaus,23,23
The sugar that the visitor bought dissolved.,The sugar that the visitor dissolved bought.,center_embed,plaus,implaus,24,24
The pants that the woman bought ripped.,The pants that the woman ripped bought.,center_embed,plaus,implaus,25,25
